likesCount,text,cleaned_text,sentiment
1,Wonder what's causing these heat waves. And when are we starting the measuring in global Temps.,wonder whats causing heat waves starting measuring global temps,Neutral
0,Joni Shepherd Silva Charles Silva,joni shepherd silva charles silva,Neutral
0,Genesis HC,genesis hc,Neutral
0,🐂,,Neutral
0,CC?  NO way to predict ACCURATELY!!,cc way predict accurately,Positive
1,https://m.youtube.com/watch?v=2XuAhOnWQh8&pp=ygUzd2hhdCB0aGUgbWVkaWNhbCBjb21tdW5pdHkgaGFzIHRvIHNheSBhYm91dCBjbGltYXRl,,Neutral
0,Don't worry...the very uneducated oil sycophant MAGAts🤡 assure us it is just weather .,dont worrythe uneducated oil sycophant magats assure just weather,Neutral
1,https://linkso.medium.com/why-the-latest-on-climate-change-is-dire-and-probably-worse-than-theyre-telling-us-78a446c07273,,Neutral
0,Suzie A. Woodruff-Gray,suzie woodruffgray,Neutral
0,"The “greenhouse effect” is concerned with the infrared radiation given off by the earth. The sun’s radiation basically passes through the oxygen and nitrogen in the earth’s atmosphere and lands on the earth’s surface, where 70% of it is absorbed; 30% is reflected back into the atmosphere. Part of this radiation bounces off the greenhouse gases and returns to be absorbed by earth. The greenhouses gases (GHGs) are water vapor (H2O), carbon dioxide (CO2), nitrous oxide (NO2) and methane (CH4).

How long does CO2 remain in the atmosphere? This is a difficult question because there are several processes that remove carbon dioxide from the atmosphere. From 65% to 80% of the CO2 that is released into the air dissolves into the ocean over a period of 50-200 years. The rest is removed over several hundred thousand years. According to the IPCC Fourth Assessment Report, about 50% of CO2 increase will be removed from the atmosphere within 30 years, another 30% will be removed within a few centuries and the remaining 20% may stay in the atmosphere for thousands of years. This means that if we could stop carbon dioxide emissions tomorrow, the carbon dioxide in the atmosphere would continue to warm the climate for thousands of years. Methane (CH4), by contrast, persists for about 12 years. Thus, even though methane is 26 times more potent than carbon dioxide, its effect is relatively short-lived. Furthermore, methane has increased from 700 ppb in 1750 to 1893 ppb today; notice that is parts per billion, not parts per million.

If the emissions of carbon dioxide into the atmosphere are causing global warming, how much will the earth warm up by the year 2100? This depends upon how many billions of tons of carbon dioxide are being emitted into the atmosphere. As a general rule, about 1 trillion tons of additional carbon dioxide in the atmosphere (actually 975 billion) will translate to about 125 ppm of additional carbon dioxide. Also, 125 ppm of additional carbon dioxide translates to about 1.8 °F (1 °C) in global warming. This can be verified by the fact that pre-industrial carbon dioxide was about 280 ppm and is now about 405 ppm. During this period, the planet warmed up about 1 °C.

Scientists have measured the amount of atmospheric carbon dioxide which corresponds to 1 ppm and have found that this corresponds to 7.8 billion metric tons of CO2 in the atmosphere. Therefore, in order to increase the global temperature by 1 °C, you would need 125 x 7.8 billion or 975 billion metric tons of carbon dioxide. A metric ton equals 1,000 kilograms (or 2.2 x 1,000 = 2,200 pounds); the U.S. is the only country in the world that does not use the metric ton. In 2016, the world pumped 36.1 billion metric tons (or 39.8 U.S. Gt) of carbon dioxide into the atmosphere. The average per capita emission of carbon dioxide is 7 metric tons per person per year. In the year 2100, there will be about 11 billion people. Therefore, in 2100, in a business-as-usual scenario, we can expect the world to emit 11 x 7 or 77 billion metric tons into the atmosphere per year or an average of 56.5 billion tons for the next 80 years, i.e., an accumulation of 4.52 trillion tons of CO2 by 2300.  Less 25% (1.13 Tt) due to carbon sinks (the oceans are almost saturated with CO2), the world will have an accumulation of 3.4Tt (4.52 – 1.13) of carbon in the atmosphere. Dividing 3.4 trillion tons of CO2 by 975 million = 3.48 °C (6.26 °F).  This means that the world will be 6.26 °F warmer in 2100 than it was in 2020.

The rise in sea level comes from two distinct processes: water expansions (3.3 feet) due to the added 6.26 °F of increased temperature and melting ice, mainly from Greenland (.41 feet) and the Antarctica (.2 feet) or 3.91 total feet by 2100, as well as increased extraction of groundwater due to irrigation.   Although we do not usually notice it, water expands very slightly as it gets warmer. The second and potentially greater contribution to rising sea level comes from the melting of glacial ice. Antarctica has 90% of the ice, Greenland has 9% of the ice (2,931 trillion tons of ice) and the remaining 1% is tied up in continental glaciers, which except for the Himalayas will all melt by 2100.  If Greenland completely melts, it will raise the sea level by about 24 feet (7.2 meters).  If the Antarctica completely melts, it will add 200 feet (or 60 meters) to the sea level rise.   

In the year 2100, I predict that fossil fuels will be almost depleted (coal may last until 2150) and that the temperature rise will level off. My model predicts that Greenland will be losing about 500 Gt of ice per year until the end of the century, resulting in about 0.41 feet of sea level rise by 2100.  In addition, the Antarctica will add another 0.2 feet of sea level rise. Adding this to the 3.3 feet for thermal warming results in a sea level rise of 3.9 feet.  Now add 2 feet due to melting of the West Antarctic Ice Sheet (WAIS) due to the collapse of the Pine Island and Thwaites glaciers and you have a 5.9 foot sea level rise by the end of the century.  NOAA (the National Oceanic and Atmospheric Administration) states that the oceans could rise 8 feet by 2100 under a worse-case scenario, namely a complete collapse of the WAIS.  

What effect would a 5.9 foot sea level rise have on the U.S.? Miami is one of the most vulnerable places to rising seas. About 2 million Americans would see their homes permanently flooded if sea levels rise just 3 feet. If the sea level rises 6 feet, 6 million Americans would see their homes permanently flooded. A new study predicts that as many as 13.1 million Americans in coastal areas will have to relocate by 2100 if the sea level rises 5.9 feet (1.8 meters), which is what I expect to be the most likely scenario.

In addition to sea-level rise, global warming is contributing to increases in the spread of insect-borne illnesses and crop-damaging pests. For example, diseases such as Zika, dengue fever and chikungunya are transmitted by mosquitoes, which pick up these diseases by biting infected people and then spreading them to other people through subsequent bites. Research has shown that warmer temperatures shorten the incubation period, which means the disease can spread more rapidly. Warmer temperatures also tend to increase the geographic range of insects.

Global warming also translates into more extreme weather events because higher temperatures mean an increase in energy in the atmosphere and oceans; energy is what drives weather. While we cannot attribute any particular storm to global warming, we can tie an overall trend to global warming. It makes logical sense that warm ocean waters give birth to more intense weather. Generally, hurricanes cannot survive for long over sea surfaces that are cooler than about 79 °F (26 °C). The longer the ocean waters stay above 79 °F, the more opportunity there is for a hurricane to blossom.

Lastly, global warming will result in more droughts, floods and water scarcity.  Demand for water has tripled during the past 50 years. Currently a half billion people live in a water-stressed country. By 2025, that number is expected to increase to about 3 billion. The vast majority of fresh water, about 70%, is used for agriculture. On the U.S. East Coast, much of the water supply comes from surface water, whereas most of the Midwest gets its water supply from a combination of surface waters and well water. The well water comes from underground aquifers such as the Ogallala Aquifer. At present rates of withdrawal, parts of the Ogallala Aquifer water will be available for irrigation for only another 10 to 20 years.",greenhouse effect concerned infrared radiation given earth suns radiation basically passes oxygen nitrogen earths atmosphere lands earths surface absorbed reflected atmosphere radiation bounces greenhouse gases returns absorbed earth greenhouses gases ghgs water vapor ho carbon dioxide nitrous oxide methane ch long does remain atmosphere difficult question processes remove carbon dioxide atmosphere released air dissolves ocean period years rest removed thousand years according ipcc fourth assessment report increase removed atmosphere years removed centuries remaining stay atmosphere thousands years means stop carbon dioxide emissions tomorrow carbon dioxide atmosphere continue warm climate thousands years methane ch contrast persists years methane times potent carbon dioxide effect relatively shortlived furthermore methane increased ppb ppb today notice parts billion parts million emissions carbon dioxide atmosphere causing global warming earth warm year depends billions tons carbon dioxide emitted atmosphere general rule trillion tons additional carbon dioxide atmosphere actually billion translate ppm additional carbon dioxide ppm additional carbon dioxide translates f c global warming verified fact preindustrial carbon dioxide ppm ppm period planet warmed c scientists measured atmospheric carbon dioxide corresponds ppm corresponds billion metric tons atmosphere order increase global temperature c need x billion billion metric tons carbon dioxide metric ton equals kilograms x pounds country world does use metric ton world pumped billion metric tons gt carbon dioxide atmosphere average capita emission carbon dioxide metric tons person year year billion people businessasusual scenario expect world emit x billion metric tons atmosphere year average billion tons years accumulation trillion tons tt carbon sinks oceans saturated world accumulation tt carbon atmosphere dividing trillion tons million c f means world f warmer rise sea level comes distinct processes water expansions feet added f increased temperature melting ice mainly greenland feet antarctica feet total feet increased extraction groundwater irrigation usually notice water expands slightly gets warmer second potentially greater contribution rising sea level comes melting glacial ice antarctica ice greenland ice trillion tons ice remaining tied continental glaciers himalayas melt greenland completely melts raise sea level feet meters antarctica completely melts add feet meters sea level rise year predict fossil fuels depleted coal temperature rise level model predicts greenland losing gt ice year end century resulting feet sea level rise addition antarctica add feet sea level rise adding feet thermal warming results sea level rise feet add feet melting west antarctic ice sheet wais collapse pine island thwaites glaciers foot sea level rise end century noaa national oceanic atmospheric administration states oceans rise feet worsecase scenario complete collapse wais effect foot sea level rise miami vulnerable places rising seas million americans homes permanently flooded sea levels rise just feet sea level rises feet million americans homes permanently flooded new study predicts million americans coastal areas relocate sea level rises feet meters expect likely scenario addition sealevel rise global warming contributing increases spread insectborne illnesses cropdamaging pests example diseases zika dengue fever chikungunya transmitted mosquitoes pick diseases biting infected people spreading people subsequent bites research shown warmer temperatures shorten incubation period means disease spread rapidly warmer temperatures tend increase geographic range insects global warming translates extreme weather events higher temperatures mean increase energy atmosphere oceans energy drives weather attribute particular storm global warming tie overall trend global warming makes logical sense warm ocean waters birth intense weather generally hurricanes survive long sea surfaces cooler f c longer ocean waters stay f opportunity hurricane blossom lastly global warming result droughts floods water scarcity demand water tripled past years currently half billion people live waterstressed country number expected increase billion vast majority fresh water used agriculture east coast water supply comes surface water midwest gets water supply combination surface waters water water comes underground aquifers ogallala aquifer present rates withdrawal parts ogallala aquifer water available irrigation years,Positive
0,"The “greenhouse effect” is concerned with the infrared radiation given off by the earth. The sun’s radiation basically passes through the oxygen and nitrogen in the earth’s atmosphere and lands on the earth’s surface, where 70% of it is absorbed; 30% is reflected back into the atmosphere. Part of this radiation bounces off the greenhouse gases and returns to be absorbed by earth. The greenhouses gases (GHGs) are water vapor (H2O), carbon dioxide (CO2), nitrous oxide (NO2) and methane (CH4).

How long does CO2 remain in the atmosphere? This is a difficult question because there are several processes that remove carbon dioxide from the atmosphere. From 65% to 80% of the CO2 that is released into the air dissolves into the ocean over a period of 50-200 years. The rest is removed over several hundred thousand years. According to the IPCC Fourth Assessment Report, about 50% of CO2 increase will be removed from the atmosphere within 30 years, another 30% will be removed within a few centuries and the remaining 20% may stay in the atmosphere for thousands of years. This means that if we could stop carbon dioxide emissions tomorrow, the carbon dioxide in the atmosphere would continue to warm the climate for thousands of years. Methane (CH4), by contrast, persists for about 12 years. Thus, even though methane is 26 times more potent than carbon dioxide, its effect is relatively short-lived. Furthermore, methane has increased from 700 ppb in 1750 to 1893 ppb today; notice that is parts per billion, not parts per million.

If the emissions of carbon dioxide into the atmosphere are causing global warming, how much will the earth warm up by the year 2100? This depends upon how many billions of tons of carbon dioxide are being emitted into the atmosphere. As a general rule, about 1 trillion tons of additional carbon dioxide in the atmosphere (actually 975 billion) will translate to about 125 ppm of additional carbon dioxide. Also, 125 ppm of additional carbon dioxide translates to about 1.8 °F (1 °C) in global warming. This can be verified by the fact that pre-industrial carbon dioxide was about 280 ppm and is now about 405 ppm. During this period, the planet warmed up about 1 °C.

Scientists have measured the amount of atmospheric carbon dioxide which corresponds to 1 ppm and have found that this corresponds to 7.8 billion metric tons of CO2 in the atmosphere. Therefore, in order to increase the global temperature by 1 °C, you would need 125 x 7.8 billion or 975 billion metric tons of carbon dioxide. A metric ton equals 1,000 kilograms (or 2.2 x 1,000 = 2,200 pounds); the U.S. is the only country in the world that does not use the metric ton. In 2016, the world pumped 36.1 billion metric tons (or 39.8 U.S. Gt) of carbon dioxide into the atmosphere. The average per capita emission of carbon dioxide is 7 metric tons per person per year. In the year 2100, there will be about 11 billion people. Therefore, in 2100, in a business-as-usual scenario, we can expect the world to emit 11 x 7 or 77 billion metric tons into the atmosphere per year or an average of 56.5 billion tons for the next 80 years, i.e., an accumulation of 4.52 trillion tons of CO2 by 2300.  Less 25% (1.13 Tt) due to carbon sinks (the oceans are almost saturated with CO2), the world will have an accumulation of 3.4Tt (4.52 – 1.13) of carbon in the atmosphere. Dividing 3.4 trillion tons of CO2 by 975 million = 3.48 °C (6.26 °F).  This means that the world will be 6.26 °F warmer in 2100 than it was in 2020.

The rise in sea level comes from two distinct processes: water expansions (3.3 feet) due to the added 6.26 °F of increased temperature and melting ice, mainly from Greenland (.41 feet) and the Antarctica (.2 feet) or 3.91 total feet by 2100, as well as increased extraction of groundwater due to irrigation.   Although we do not usually notice it, water expands very slightly as it gets warmer. The second and potentially greater contribution to rising sea level comes from the melting of glacial ice. Antarctica has 90% of the ice, Greenland has 9% of the ice (2,931 trillion tons of ice) and the remaining 1% is tied up in continental glaciers, which except for the Himalayas will all melt by 2100.  If Greenland completely melts, it will raise the sea level by about 24 feet (7.2 meters).  If the Antarctica completely melts, it will add 200 feet (or 60 meters) to the sea level rise.   

In the year 2100, I predict that fossil fuels will be almost depleted (coal may last until 2150) and that the temperature rise will level off. My model predicts that Greenland will be losing about 500 Gt of ice per year until the end of the century, resulting in about 0.41 feet of sea level rise by 2100.  In addition, the Antarctica will add another 0.2 feet of sea level rise. Adding this to the 3.3 feet for thermal warming results in a sea level rise of 3.9 feet.  Now add 2 feet due to melting of the West Antarctic Ice Sheet (WAIS) due to the collapse of the Pine Island and Thwaites glaciers and you have a 5.9 foot sea level rise by the end of the century.  NOAA (the National Oceanic and Atmospheric Administration) states that the oceans could rise 8 feet by 2100 under a worse-case scenario, namely a complete collapse of the WAIS.  

What effect would a 5.9 foot sea level rise have on the U.S.? Miami is one of the most vulnerable places to rising seas. About 2 million Americans would see their homes permanently flooded if sea levels rise just 3 feet. If the sea level rises 6 feet, 6 million Americans would see their homes permanently flooded. A new study predicts that as many as 13.1 million Americans in coastal areas will have to relocate by 2100 if the sea level rises 5.9 feet (1.8 meters), which is what I expect to be the most likely scenario.

In addition to sea-level rise, global warming is contributing to increases in the spread of insect-borne illnesses and crop-damaging pests. For example, diseases such as Zika, dengue fever and chikungunya are transmitted by mosquitoes, which pick up these diseases by biting infected people and then spreading them to other people through subsequent bites. Research has shown that warmer temperatures shorten the incubation period, which means the disease can spread more rapidly. Warmer temperatures also tend to increase the geographic range of insects.

Global warming also translates into more extreme weather events because higher temperatures mean an increase in energy in the atmosphere and oceans; energy is what drives weather. While we cannot attribute any particular storm to global warming, we can tie an overall trend to global warming. It makes logical sense that warm ocean waters give birth to more intense weather. Generally, hurricanes cannot survive for long over sea surfaces that are cooler than about 79 °F (26 °C). The longer the ocean waters stay above 79 °F, the more opportunity there is for a hurricane to blossom.

Lastly, global warming will result in more droughts, floods and water scarcity.  Demand for water has tripled during the past 50 years. Currently a half billion people live in a water-stressed country. By 2025, that number is expected to increase to about 3 billion. The vast majority of fresh water, about 70%, is used for agriculture. On the U.S. East Coast, much of the water supply comes from surface water, whereas most of the Midwest gets its water supply from a combination of surface waters and well water. The well water comes from underground aquifers such as the Ogallala Aquifer. At present rates of withdrawal, parts of the Ogallala Aquifer water will be available for irrigation for only another 10 to 20 years.",greenhouse effect concerned infrared radiation given earth suns radiation basically passes oxygen nitrogen earths atmosphere lands earths surface absorbed reflected atmosphere radiation bounces greenhouse gases returns absorbed earth greenhouses gases ghgs water vapor ho carbon dioxide nitrous oxide methane ch long does remain atmosphere difficult question processes remove carbon dioxide atmosphere released air dissolves ocean period years rest removed thousand years according ipcc fourth assessment report increase removed atmosphere years removed centuries remaining stay atmosphere thousands years means stop carbon dioxide emissions tomorrow carbon dioxide atmosphere continue warm climate thousands years methane ch contrast persists years methane times potent carbon dioxide effect relatively shortlived furthermore methane increased ppb ppb today notice parts billion parts million emissions carbon dioxide atmosphere causing global warming earth warm year depends billions tons carbon dioxide emitted atmosphere general rule trillion tons additional carbon dioxide atmosphere actually billion translate ppm additional carbon dioxide ppm additional carbon dioxide translates f c global warming verified fact preindustrial carbon dioxide ppm ppm period planet warmed c scientists measured atmospheric carbon dioxide corresponds ppm corresponds billion metric tons atmosphere order increase global temperature c need x billion billion metric tons carbon dioxide metric ton equals kilograms x pounds country world does use metric ton world pumped billion metric tons gt carbon dioxide atmosphere average capita emission carbon dioxide metric tons person year year billion people businessasusual scenario expect world emit x billion metric tons atmosphere year average billion tons years accumulation trillion tons tt carbon sinks oceans saturated world accumulation tt carbon atmosphere dividing trillion tons million c f means world f warmer rise sea level comes distinct processes water expansions feet added f increased temperature melting ice mainly greenland feet antarctica feet total feet increased extraction groundwater irrigation usually notice water expands slightly gets warmer second potentially greater contribution rising sea level comes melting glacial ice antarctica ice greenland ice trillion tons ice remaining tied continental glaciers himalayas melt greenland completely melts raise sea level feet meters antarctica completely melts add feet meters sea level rise year predict fossil fuels depleted coal temperature rise level model predicts greenland losing gt ice year end century resulting feet sea level rise addition antarctica add feet sea level rise adding feet thermal warming results sea level rise feet add feet melting west antarctic ice sheet wais collapse pine island thwaites glaciers foot sea level rise end century noaa national oceanic atmospheric administration states oceans rise feet worsecase scenario complete collapse wais effect foot sea level rise miami vulnerable places rising seas million americans homes permanently flooded sea levels rise just feet sea level rises feet million americans homes permanently flooded new study predicts million americans coastal areas relocate sea level rises feet meters expect likely scenario addition sealevel rise global warming contributing increases spread insectborne illnesses cropdamaging pests example diseases zika dengue fever chikungunya transmitted mosquitoes pick diseases biting infected people spreading people subsequent bites research shown warmer temperatures shorten incubation period means disease spread rapidly warmer temperatures tend increase geographic range insects global warming translates extreme weather events higher temperatures mean increase energy atmosphere oceans energy drives weather attribute particular storm global warming tie overall trend global warming makes logical sense warm ocean waters birth intense weather generally hurricanes survive long sea surfaces cooler f c longer ocean waters stay f opportunity hurricane blossom lastly global warming result droughts floods water scarcity demand water tripled past years currently half billion people live waterstressed country number expected increase billion vast majority fresh water used agriculture east coast water supply comes surface water midwest gets water supply combination surface waters water water comes underground aquifers ogallala aquifer present rates withdrawal parts ogallala aquifer water available irrigation years,Positive
1,"Dear world, if there was ever a time for the world to UNITE it would be now. I invite all on planet earth to join me giving our beautiful planet a day off 1 day a week on Sundays. The only requirement needed for this to happen and become a reality is rest. The world is spending billions on UNCERTAINTY to save this planet trying to cool it,but cooling it is not changing the amount of emissions on earth or in the atmosphere. Watching and reading all that is being,attempted and done is like watching the movie groundhog day. Trial and error,unknown results,uncertainty,knowing the damage and destruction,and doing it anyway. Repeat again and again and again. Why hasn’t there ever been a time promoting  no risk,effective solution to save planet earth eliminating the amount of emissions on and in the planet just by turning it all off? It is free and results are immediate. Maybe this will not change the amount of emissions in atmosphere from 10 yrs ago,but if earth got that rest 1 day a week it will absolutely rejuvenate all that is being used and needed for earth to be more efficient and effective. Stop experimenting with so much uncertainty that is potentially more destructive and jwork on promoting the world to give earth off on Sundays and shut it off! Maybe the results would be miraculous and would heal this planet quicker than we’d ever imagine. We will never know until it’s done. Make that your great experiment to save the planet. There is no more time to waste and wildfires fires and wars only escalated the time left! We have to act immediately Knowing results not tomorrowS uncertainty! SHUT IT DOWN 1 day a week and NOW! Thanks. Spread the word❤️",dear world time world unite invite planet earth join giving beautiful planet day day week sundays requirement needed happen reality rest world spending billions uncertainty save planet trying cool itbut cooling changing emissions earth atmosphere watching reading beingattempted like watching movie groundhog day trial errorunknown resultsuncertaintyknowing damage destructionand doing repeat time promoting riskeffective solution save planet earth eliminating emissions planet just turning free results immediate maybe change emissions atmosphere yrs agobut earth got rest day week absolutely rejuvenate used needed earth efficient effective stop experimenting uncertainty potentially destructive jwork promoting world earth sundays shut maybe results miraculous heal planet quicker wed imagine know make great experiment save planet time waste wildfires fires wars escalated time left act immediately knowing results tomorrows uncertainty shut day week thanks spread word,Positive
10,Thank you NASA Climate Change.  Your patience and thoroughness with deniers is remarkable.  We need more scientists like you that can explain things to the average person.  I hope to see more discussions like this.  This is the World's number one problem and no one wants to talk about it.,thank nasa climate change patience thoroughness deniers remarkable need scientists like explain things average person hope discussions like worlds number problem wants talk,Positive
24,"I miss my "" old school America""  where we turned to our scientists and doctors for  advice about issues of climate and public health.",miss old school america turned scientists doctors advice issues climate public health,Positive
18,"Thank you Nasa for explaining the scientific evidence. I enjoy reading your articles. I know that I'm not a scientist, but learning and having respect for our earth, should be our ultimate goal.",thank nasa explaining scientific evidence enjoy reading articles know im scientist learning having respect earth ultimate goal,Positive
33,I’m amazed that we’ve been warned since the 70’s about greenhouse gases and I have seen little done over those years. My hopes were after the awareness was made so would action? And here we are. ,im amazed weve warned s greenhouse gases seen little years hopes awareness action,Negative
10,And in the last 20 years the variance is reduced by half or more. That probably means that the oceans are absorbing and releasing energy faster than they used to. That could be both the cause and the result of more severe weather systems. Just guessing.,years variance reduced half probably means oceans absorbing releasing energy faster used cause result severe weather systems just guessing,Positive
0,"The question is, how can we help? Each of us could do a little everyday. I know many people who don’t recicle, and the amount of trash that is dumped into the oceans,lakes, rivers, mountains it is huge, if we all really care there lost of thinks we can do  to make the world a better place, lest get informed and help, let’s doit for the new generation.",question help little everyday know people dont recicle trash dumped oceanslakes rivers mountains huge really care lost thinks make world better place lest informed help lets doit new generation,Positive
9,Time to really do something different. Time to build back better! Better! BETTER!,time really different time build better better better,Positive
1,Only 140 years of data?? C'mon now! We've been going through the same cycles for eons...,years data cmon weve going cycles eons,Neutral
0,"I don't understand the graph, what does it all mean?",dont understand graph does mean,Negative
0,"My question is to NASA. The air in a greenhouse is heated by solar radiation, an increase in solar radiation temperature would also increase temperature. If the temperature outside the earth's atmosphere is above the boiling point of water (approx. 120°C), is it not possible that an increase could affect the atmosphere. Also, heated cosmic radiation could affect the temperature. What comes to mind is the 'P' theory. In an outdoor public unheated pool, you come along a warm spot of water. (We all know what that means.) The solar system could be traveling through such a heated radiation cloud. The Milky Way galaxy has chaotic catastrophic events of stellar birth, life and death throughout. Clouds or jets of superheated radiation blasted into space. Well, we might be entering that space. But, closer to home, one just has to look at a frosted window, on a winter morning, as the light from the sun hits it. With temperatures below freezing, the sun's rays melts the frost. Back to my question, ""Are we just beating a dead horse in hopes to ride forever?""",question nasa air greenhouse heated solar radiation increase solar radiation temperature increase temperature temperature outside earths atmosphere boiling point water approx c possible increase affect atmosphere heated cosmic radiation affect temperature comes mind p theory outdoor public unheated pool come warm spot water know means solar traveling heated radiation cloud milky way galaxy chaotic catastrophic events stellar birth life death clouds jets superheated radiation blasted space entering space closer home just look frosted window winter morning light sun hits temperatures freezing suns rays melts frost question just beating dead horse hopes ride forever,Positive
0,Humans are not understanding life on earth because we only started to study it. Funny that the universe allows us to pretend we have a clue what a warmer earth actually means. ,humans understanding life earth started study funny universe allows pretend clue warmer earth actually means,Positive
0,😲,,Neutral
0,we all on the same boat. i think if we didn't stop oil production by now the water would evaporate and goes outside earth.,boat think didnt stop oil production water evaporate goes outside earth,Neutral
1,"omg.  the slope of the blue line, then the yellow line, then the purple line and now the green line... keep getting steeper.  not only are we heating up but we are heating up FASTER.  this is insane.  and the eruptions during the cooling periods...wonder if there will be cooling periods",omg slope blue line yellow line purple line green line getting steeper heating heating faster insane eruptions cooling periodswonder cooling periods,Negative
1,"Thank you NASA for continuing to highlight this climate catastrophe.  Please keep the conversation going as there is a lot of ignorance to overcome.

The impacts of climate change are already here and are causing devastation to our ecology and environment.   We need to campaign and  lobby our governments to bring in legislation quickly.",thank nasa continuing highlight climate catastrophe conversation going lot ignorance overcome impacts climate change causing devastation ecology environment need campaign lobby governments bring legislation quickly,Positive
0,Sukhwinder Singh,sukhwinder singh,Neutral
0,I don't know much but I think humanity need's to start taking better care of the planet and what has happened to cleaner energy sources?,dont know think humanity needs start taking better care planet happened cleaner energy sources,Positive
5,"As I understand it, even if we reduced emissions to pre-industrial age levels, we still have many meters of sea level rise baked into the oceans. Societies evolved in the relatively stable climate of the Holocene. It's time we developed adaptation approaches for societies that recognize transformation is inevitable and we have entered the Anthropocene. How, or if, societies can adapt is still unclear.",understand reduced emissions preindustrial age levels meters sea level rise baked oceans societies evolved relatively stable climate holocene time developed adaptation approaches societies recognize transformation inevitable entered anthropocene societies adapt unclear,Positive
1,"Anthropogenic global warming is one symptom of a larger problem:  The fact that we have exceeded the capacity of the planet to support us.  We currently have no idea how to build a sustainable high technology civilisation, i.e. one that uses no finite natural resources, generates no pollution and produces no non-recyclable waste.  Moving away from fossil fuels is necessary, but nowhere near sufficient.  As a recent paper says:

""We cannot stress enough that a non-fossil energy regime simply cannot support anywhere close to the present human population of nearly eight billion; this urgently necessitates reducing human numbers as rapidly as possible to avoid unprecedented levels of social unrest and human suffering in the coming decades"".

https://www.mdpi.com/1996-1073/14/15/4508/htm",anthropogenic global warming symptom larger problem fact exceeded capacity planet support currently idea build sustainable high technology civilisation uses finite natural resources generates pollution produces nonrecyclable waste moving away fossil fuels necessary near sufficient recent paper says stress nonfossil energy regime simply support close present human population nearly billion urgently necessitates reducing human numbers rapidly possible avoid unprecedented levels social unrest human suffering coming decades,Positive
1,"Someone forgot to mention to Florida that she was supposed to be warming. We haven't had an above average summer in 3 years now. I miss my childhood summers, when swimming was the only option.",forgot mention florida supposed warming havent average summer years miss childhood summers swimming option,Negative
0,Hot!,hot,Positive
1,"I'd like to go back to 1880, please. ",id like,Neutral
0, How has The Sun changed in 100 years ..is it warmer for Earth,sun changed years warmer earth,Neutral
13,"Climate change is a made up scenario from the dems…… seems they never complain about all the pollution & garbage in 3rd world countries….., only America where we have clean energy ",climate change scenario dems complain pollution garbage rd world countries america clean energy,Positive
5,"The deniers always with the same statements, again and again and again.",deniers statements,Neutral
26,Taking a 140 years of temperature readings on a planet that is 4.5 billion years old and use those to form a meaningful conclusion or find a pattern would be the same as me interviewing a 100 year old person for less than one second........ and use that information to then write their complete biography.,taking years temperature readings planet billion years old use form meaningful conclusion pattern interviewing year old person second use information write complete biography,Positive
6,I havent seen any difference  anywhere. Go ahead and push that agenda though!,havent seen difference ahead push agenda,Neutral
2,Why don't some people believe in science? I just don't understand,dont people believe science just dont understand,Neutral
0,Remember the planet that we live on also went through an ice age....it goes through cycles. Js,remember planet live went ice ageit goes cycles js,Positive
0,Can we also get a data to the left of 1880?.. say 500 years span?,data left say years span,Neutral
19,The difficulty in arguing science with a scientist is that they know what they are talking about! 😁,difficulty arguing science scientist know talking,Neutral
43,"It's worth remembering that land surfaces (red, in the graph below) warm at about twice the rate of global mean temperature rise (green), and the Arctic is warming around three times faster than the global mean.  So, 2C of global warming would mean 4C of average warming on land, and 6C in the Arctic - these are huge changes over the space of a human lifetime, and we would struggle to adapt.  Best to do something about it soon-ish...",worth remembering land surfaces red graph warm twice rate global mean temperature rise green arctic warming times faster global mean c global warming mean c average warming land c arctic huge changes space human lifetime struggle adapt best soonish,Positive
9,The three eruptions from 1880 through 1920 dumped huge amounts of pollution into the atmosphere. And gases that create atmospheric warming. ,eruptions dumped huge amounts pollution atmosphere gases create atmospheric warming,Positive
0,I thought it's stock market chart with indicator 😝,thought stock market chart indicator,Neutral
3,So in 140 years we have a temperature anomaly of 1 degree.  😴,years temperature anomaly degree,Neutral
15,"Scientific denial, are we coming to the Middle Ages? People are dening NASA observations, scientific conclusions. Internet is realising stupidity. What’s next? Flat Earth??",scientific denial coming middle ages people dening nasa observations scientific conclusions internet realising stupidity whats flat earth,Negative
0,"Wow, cool! Or rather: not so cool!",wow cool cool,Positive
0,What caused the cooling after WW2?,caused cooling ww,Neutral
3,When are we going to do something? ,going,Neutral
0,Y vamos pa´riba...,y vamos pariba,Neutral
0,From where we can download this data?,download data,Neutral
1,"I hope for the Best.,  but it's Still Hot., and I have no idea how to react  about all this crazy Weather., and everything that is been Going on at this moment., the only think I can do is Pray for mercy.",hope best hot idea react crazy weather going moment think pray mercy,Positive
0,It is going to get very bad.,going bad,Negative
22,"We have also in the UK lost much of our sea grass - that is also, like trees, very effective at taking CO2 out of the cycle, for quite a while.",uk lost sea grass like trees effective taking cycle quite,Positive
1,"We need to do two things to ensure our species continuation, find other planets quickly. The need for deep space exploration is a must. literally families in space to ensure our continuation. And save our planet!!!! Really crack down with the 'Laws' on littering, pollution and stripping(mining, trees, even animals that. are becoming extinct).",need things ensure species continuation planets quickly need deep space exploration literally families space ensure continuation save planet really crack laws littering pollution strippingmining trees animals extinct,Positive
